indicador_id,secao,grupo,indicador,unidade,periodo,ordem_periodo,valor,variacao_trimestral_abs,variacao_trimestral_pct,variacao_anual_abs,variacao_anual_pct,situacao_trimestral,situacao_anual,fonte
atividades--outros-servicos,Atividades,Grupamentos de atividade,Outros serviços,Mil pessoas,jan-fev-mar/2025,1,184.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--outros-servicos,Atividades,Grupamentos de atividade,Outros serviços,Mil pessoas,out-nov-dez/2025,2,199.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--outros-servicos,Atividades,Grupamentos de atividade,Outros serviços,Mil pessoas,jan-fev-mar/2026,3,189.0,-11.0,-5.4,4.0,2.4,estavel,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--servicos-domesticos,Atividades,Grupamentos de atividade,Serviços domésticos,Mil pessoas,jan-fev-mar/2025,1,225.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--servicos-domesticos,Atividades,Grupamentos de atividade,Serviços domésticos,Mil pessoas,out-nov-dez/2025,2,233.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
atividades--servicos-domesticos,Atividades,Grupamentos de atividade,Serviços domésticos,Mil pessoas,jan-fev-mar/2026,3,200.0,-33.0,-14.1,-24.0,-10.8,decresceu,estavel,"IBGE, PNAD Contínua Trimestral — maio de 2026"
rendimento--rendimento-medio-mensal-real-habitual,Rendimento,Rendimento,Rendimento médio mensal real habitual,R$,jan-fev-mar/2025,1,2333.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
rendimento--rendimento-medio-mensal-real-habitual,Rendimento,Rendimento,Rendimento médio mensal real habitual,R$,out-nov-dez/2025,2,2469.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
rendimento--rendimento-medio-mensal-real-habitual,Rendimento,Rendimento,Rendimento médio mensal real habitual,R$,jan-fev-mar/2026,3,2597.0,128.0,5.2,265.0,11.4,estavel,cresceu,"IBGE, PNAD Contínua Trimestral — maio de 2026"
rendimento--massa-de-rendimento-mensal-real-habitual,Rendimento,Rendimento,Massa de rendimento mensal real habitual,R$ milhões,jan-fev-mar/2025,1,8105.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
rendimento--massa-de-rendimento-mensal-real-habitual,Rendimento,Rendimento,Massa de rendimento mensal real habitual,R$ milhões,out-nov-dez/2025,2,9147.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
rendimento--massa-de-rendimento-mensal-real-habitual,Rendimento,Rendimento,Massa de rendimento mensal real habitual,R$ milhões,jan-fev-mar/2026,3,9235.0,87.0,1.0,1130.0,13.9,estavel,cresceu,"IBGE, PNAD Contínua Trimestral — maio de 2026"
subutilizacao--na-forca-de-trabalho,Subutilização,Pessoas,Na força de trabalho,Mil pessoas,jan-fev-mar/2025,1,3824.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
subutilizacao--na-forca-de-trabalho,Subutilização,Pessoas,Na força de trabalho,Mil pessoas,out-nov-dez/2025,2,3952.0,,,,,,,"IBGE, PNAD Contínua Trimestral — maio de 2026"
